log_id,timestamp,employee_id,action,entity_type,entity_id,ip_address,device_type,location,status,severity,remarks
LOG-0000001,2021-01-01T10:18:31,EMP-20003,Transaction Updated,Transaction,TXN-001883,13.49.167.67,Mobile,Hyderabad,Success,Low,Transaction record updated
LOG-0000002,2021-01-01T12:21:12,EMP-20016,Transaction Created,Transaction,TXN-002071,181.13.124.135,Desktop,Hyderabad,Success,Low,Transaction record created
LOG-0000003,2021-01-02T11:37:28,EMP-20134,Invoice Verified,Invoice,INV-2024-002312,66.233.86.27,Laptop,Mumbai,Success,Medium,Invoice verification completed
LOG-0000004,2021-01-02T15:14:04,EMP-20109,Purchase Order Cancelled,Purchase Order,PO-2025-000768,48.192.197.53,Laptop,Gurugram,Success,Low,Purchase order cancelled
LOG-0000005,2021-01-02T17:24:20,EMP-20118,Payment Failed,Transaction,TXN-001842,21.231.175.214,Laptop,Gurugram,Success,Low,Payment attempt failed
LOG-0000006,2021-01-02T19:21:23,EMP-20133,Payment Failed,Transaction,TXN-001320,192.173.132.252,Laptop,Delhi,Warning,Low,Payment attempt failed
LOG-0000007,2021-01-02T19:35:42,EMP-20008,Risk Score Generated,Vendor,VEN-100722,206.91.130.208,Laptop,Bengaluru,Success,Medium,Risk score generated for vendor
LOG-0000008,2021-01-03T14:31:40,EMP-20021,Payment Reversed,Transaction,TXN-003593,20.88.253.45,Laptop,Hyderabad,Success,Medium,Payment reversed after compliance review
LOG-0000009,2021-01-03T19:31:22,EMP-20115,Invoice Verified,Invoice,INV-2025-002176,18.103.187.70,Desktop,Gurugram,Success,Low,Invoice verification completed
LOG-0000010,2021-01-04T11:01:32,EMP-20142,Data Exported,Employee,EMP-20147,55.10.103.213,Mobile,Chennai,Success,Low,Data export executed
LOG-0000011,2021-01-04T11:53:43,EMP-20109,Purchase Order Submitted,Purchase Order,PO-2025-000083,120.39.237.94,Laptop,Mumbai,Success,Medium,Purchase order submitted for approval
LOG-0000012,2021-01-04T13:44:21,EMP-20104,Purchase Order Cancelled,Purchase Order,PO-2023-001969,176.146.222.230,Laptop,Hyderabad,Success,Low,Purchase order cancelled
LOG-0000013,2021-01-04T13:48:21,EMP-20085,Vendor Updated,Vendor,VEN-100664,199.148.129.96,Desktop,Bengaluru,Success,Low,Vendor profile updated
LOG-0000014,2021-01-04T15:37:14,EMP-20032,Policy Triggered,Transaction,TXN-000801,175.152.84.228,Laptop,Noida,Success,Medium,Risk policy triggered
